provider,slug,document,file,pattern,snippet
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/tariff-guide/tariff-guide.pdf,data\provider-docs\absa-bank-ghana\tariff-guide.pdf,rate,Interest rate (annually) 43% 40%
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/tariff-guide/tariff-guide.pdf,data\provider-docs\absa-bank-ghana\tariff-guide.pdf,fee,card GHS20.00
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/tariff-guide/tariff-guide.pdf,data\provider-docs\absa-bank-ghana\tariff-guide.pdf,fee,card GHS35.00
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/tariff-guide/tariff-guide.pdf,data\provider-docs\absa-bank-ghana\tariff-guide.pdf,fee,Card maintenance fee- local classic (monthly) GHS12.50
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/tariff-guide/tariff-guide-premier.pdf,data\provider-docs\absa-bank-ghana\tariff-guide-premier.pdf,rate,Interest rate (annually) 48%
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/tariff-guide/tariff-guide-premier.pdf,data\provider-docs\absa-bank-ghana\tariff-guide-premier.pdf,fee,Card maintenance fee (monthly) GHS15.00
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/tariff-guide/tariff-guide-premier.pdf,data\provider-docs\absa-bank-ghana\tariff-guide-premier.pdf,fee,Card delivery GHS20.00
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/tariff-guide/tariff-guide-premier.pdf,data\provider-docs\absa-bank-ghana\tariff-guide-premier.pdf,fee,Card maintenance fee (monthly) GHS15.00
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/tariff-guide/tariff-guide-corporate-and-business-banking.pdf,data\provider-docs\absa-bank-ghana\tariff-guide-corporate-and-business-banking.pdf,rate,4% per annum
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/tariff-guide/tariff-guide-corporate-and-business-banking.pdf,data\provider-docs\absa-bank-ghana\tariff-guide-corporate-and-business-banking.pdf,rate,3% per annum
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/tariff-guide/tariff-guide-corporate-and-business-banking.pdf,data\provider-docs\absa-bank-ghana\tariff-guide-corporate-and-business-banking.pdf,rate,4% per annum
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/tariff-guide/tariff-guide-corporate-and-business-banking.pdf,data\provider-docs\absa-bank-ghana\tariff-guide-corporate-and-business-banking.pdf,commission,commission) 0.5%
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/tariff-guide/tariff-guide-corporate-and-business-banking.pdf,data\provider-docs\absa-bank-ghana\tariff-guide-corporate-and-business-banking.pdf,commission,commission USD100
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/tariff-guide/tariff-guide-corporate-and-business-banking.pdf,data\provider-docs\absa-bank-ghana\tariff-guide-corporate-and-business-banking.pdf,commission,commission 0.75%
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/tariff-guide/tariff-guide-corporate-and-business-banking.pdf,data\provider-docs\absa-bank-ghana\tariff-guide-corporate-and-business-banking.pdf,fee,Card maintenance fee (monthly) GHS15
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/tariff-guide/tariff-guide-corporate-and-business-banking.pdf,data\provider-docs\absa-bank-ghana\tariff-guide-corporate-and-business-banking.pdf,fee,transfer GHS50
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/tariff-guide/tariff-guide-corporate-and-business-banking.pdf,data\provider-docs\absa-bank-ghana\tariff-guide-corporate-and-business-banking.pdf,fee,transfer 1% of face value (max GHS15
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/application-forms/business-debit-card-application-form.pdf,data\provider-docs\absa-bank-ghana\business-debit-card-application-form.pdf,fee,"card allows you to withdraw up to GHS 20,000"
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/application-forms/ghana-retail-customer-lending-application-form.pdf,data\provider-docs\absa-bank-ghana\ghana-retail-customer-lending-application-form.pdf,rate,Interest rate 51% per annum 48%
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/application-forms/ghana-retail-customer-lending-application-form.pdf,data\provider-docs\absa-bank-ghana\ghana-retail-customer-lending-application-form.pdf,rate,Interest Rate (Where applicable) 41%
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/application-forms/ghana-retail-customer-lending-application-form.pdf,data\provider-docs\absa-bank-ghana\ghana-retail-customer-lending-application-form.pdf,fee,withdrawal/cash advance 5% (One off) 5%
Absa Bank Ghana,absa-bank-ghana,https://www.absa.com.gh/content/dam/ghana/absa/pdf/application-forms/ghana-retail-customer-lending-application-form.pdf,data\provider-docs\absa-bank-ghana\ghana-retail-customer-lending-application-form.pdf,fee,Card replacement fee GHS50.00
CalBank,calbank,https://www.calbank.net/wp-content/uploads/2026/01/CAL-Annual-Report-2024.pdf,data\provider-docs\calbank\CAL-Annual-Report-2024.pdf,"held, not read","not a PDF, or no text layer"
CalBank,calbank,https://www.calbank.net/wp-content/uploads/2026/01/CAL-Annual-Report-2023.pdf,data\provider-docs\calbank\CAL-Annual-Report-2023.pdf,rate,base by 7.0%
CalBank,calbank,https://www.calbank.net/wp-content/uploads/2026/01/CAL-Annual-Report-2022.pdf,data\provider-docs\calbank\CAL-Annual-Report-2022.pdf,rate,85% pa
CalBank,calbank,https://www.calbank.net/wp-content/uploads/2026/01/CAL-Annual-Report-2022.pdf,data\provider-docs\calbank\CAL-Annual-Report-2022.pdf,rate,85% pa
CalBank,calbank,https://www.calbank.net/wp-content/uploads/2026/01/CAL-Annual-Report-2022.pdf,data\provider-docs\calbank\CAL-Annual-Report-2022.pdf,fee,custody by 26.7%
Ecobank Ghana,ecobank-ghana,https://www.ecobank.com/upload/publications/upload/20260219064336819Y.docx,data\provider-docs\ecobank-ghana\20260219064336819Y.docx,"held, not read","not a PDF, or no text layer"
First Atlantic Bank,first-atlantic-bank,https://www.firstatlanticbank.com.gh/tariffs/Tariff_Guide_24th_August_2026.pdf,data\provider-docs\first-atlantic-bank\Tariff_Guide_24th_August_2026.pdf,rate,1.5% pa
First Atlantic Bank,first-atlantic-bank,https://www.firstatlanticbank.com.gh/tariffs/Tariff_Guide_24th_August_2026.pdf,data\provider-docs\first-atlantic-bank\Tariff_Guide_24th_August_2026.pdf,rate,1.5% pa
First Atlantic Bank,first-atlantic-bank,https://www.firstatlanticbank.com.gh/tariffs/Tariff_Guide_24th_August_2026.pdf,data\provider-docs\first-atlantic-bank\Tariff_Guide_24th_August_2026.pdf,fee,Cheque (other reasons) GHS10.00
